language,longitude,latitude
Cavinena 1,-66.5,-13.33
Jino,101.0,22.0
Cavinena 2,-66.5,-13.33
Wojenekakan,-7.57,9.5
Tanimuca Retuara,-70.67,-0.5
Duungidjawu,153.83,-26.17
Sasak,116.5,-8.67
Koundoumou Bambomba Bomitaba,17.5,1.67
Baree,120.83,-1.75
Yawalapiti,-53.42,-12.5
Colombian Bari,-72.5,7.9
Gidole 2,37.42,5.58
Mankanya,-15.74,12.26
Algonquin,-77.0,46.0
Tutelo,-78.75,37.67
Dhargari,114.92,-23.75
Mbule,11.0,4.38
Malinke,-11.0,13.0
Gandangara,150.3,-33.7
Agta,121.83,17.97
Old Or Middle Javanese,111.0,-7.0
Venda,30.0,-22.0
Erzya,45.5,53.0
Koyra,37.83,5.83
St Lawrence Yupik,-170.5,63.5
Inupiaq,-161.0,67.0
Mazahua Central,-99.92,19.42
Jeh,107.83,15.17
Tutrugbu,0.42,6.75
Mwini 2,39.0,-6.5
Kirfi,10.4,10.33
East Damar,128.58,-7.08
Batwa,26.0,-29.0
Ache,-55.17,-25.25
Miguel Chimalapa,-94.75,16.71
Yelmek Jab,139.17,-7.67
Songola Ulindi,26.08,-2.08
Passamaquoddy Maliseet Unnamedinsource,-67.0,45.0
Mouk 2,149.08,-5.67
Mouk 1,149.08,-5.75
Sakata Kutu,18.0,-3.0
Judeo Espagnol,33.0,40.0
Wounaan,-77.0,4.0
Gawar Bati,71.56,35.3
Guragone,134.42,-12.25
Aka Cari,93.0,13.5
Ngwi Mateko Kingoli,19.08,-3.83
Kichee Chichicastenango,-91.08,15.0
Chambri,143.08,-4.17
Tanacross,-143.5,63.5
Gunwinggu Kune,133.75,-12.5
Abe,-4.25,5.83
Lehar,-16.9,14.9
Wandomi,143.83,-3.83
Pawnee 2,-98.67,41.0
Chin Haka,93.67,22.67
Fa D Ambu,5.58,-1.42
Arrernte Central,136.0,-24.0
Welsh,-3.0,52.0
Seze,34.67,9.58
Bugawac,147.25,-6.75
Lepcha,88.5,27.17
Jinxing Bai,99.95,25.67
Quezon Palawan,118.0,9.17
Sungkai Lampung Api,105.0,-5.0
Ibaloi,120.67,16.42
Konni,-1.58,10.25
Tamazight Central Atlas Ayt Izdeg,-4.4,33.2
Angoram,144.0,-4.08
Bella Coola,-126.67,52.5
Morouas Batunlamak,166.93,-15.45
Lapulu Bajau,123.0,-4.33
Mauritian,57.5,-20.33
Mai Brat,132.5,-1.33
Ecun Baha Buyang,104.75,24.4
Inga,-76.35,-3.28
Kamasau,143.83,-3.83
Wandarang,135.58,-14.42
Proto Tibeto Burman,86.93,27.99
Malagasy Bara,45.75,-23.0
Cree Woods,-99.0,57.0
Mandayan Boso,126.5,7.33
Gujgi Khorasani,59.8,36.58
Bandi,-10.25,8.08
Kove,149.75,-5.67
Nahuatl Zitlala,-99.07,17.62
Asilulu Lima Waraka,128.0,-3.67
Yarik,132.58,-2.75
Gbaya Bozoum,16.58,6.0
C36e Boloki Ngiri,18.42,0.83
Kanowit,112.23,1.95
Etoro,142.69,-6.27
Numfor,134.9,-1.05
Shirwan Khorasani,57.92,37.4
Nahuatl Ixhuatlan De Madero,-98.02,20.68
A54 Bafia Njanti,11.3,5.3
Mingora Pashto,72.36,34.78
Fali Gili,13.55,10.33
Kichee Nahuala 1,-91.5,14.78
Shoshoni,-114.0,41.0
Kichee Nahuala 2,-91.5,14.78
Ncane,10.58,6.5
Totonac Coatepec,-97.0,19.5
Waru,121.83,-3.08
Dambi,146.5,-7.0
Atemple,144.8,-5.1
Wara,-5.37,10.72
Meitei,94.0,24.75
Ahan,6.0,7.43
Banaro,144.33,-4.58
Batanga Balundu,9.17,5.0
Irarutu,133.5,-3.0
Tamasheq,-0.25,14.05
Pijin,160.0,-9.5
Fataan Amis,121.33,23.33
Khwarshi,46.17,42.25
Torau,155.5,-6.17
Taupota,150.42,-10.25
Mualang,111.0,0.5
Ghanaian Pidgin English,-0.42,5.6
Ocaina,-71.75,-2.75
Cherokee,-94.88,35.87
Ibino,8.17,4.58
Ndumu 2,13.58,-1.67
Langjia Buyang,106.02,23.55
Old Chinese,114.32,36.12
Musom 2,147.0,-6.58
Yavitero,-67.11,-1.72
Ulithian,139.58,9.92
Baetora Navenevene,168.13,-15.22
Kenzi,32.9,24.09
B42 Sangu 2,11.83,-1.5
Zeeuws,3.75,51.5
Ndouba,14.0,-0.5
North Efate Siviri,168.35,-17.55
Tedaga,19.0,20.0
Quechua Napo Lowland,-76.67,-0.43
Ngoumi,15.37,7.68
Ajie,165.5,-21.33
Purubora,-63.22,-12.17
East Masela,129.83,-8.17
Moghol,62.0,35.0
Senoufo Supyire,-5.58,11.5
Pangseng,10.5,8.0
Sinhala,80.5,7.0
Rurutuan,-151.34,-22.45
Dongshan Chinese,117.42,23.7
Karagassisch,100.0,53.0
Thal Pashto,70.54,33.37
G44a Ngazidja,43.3,-11.8
Teco Tectitan,-92.08,15.42
Nocaman,-73.17,-8.92
Quichua Cotopaxi Papaurco,-78.52,-1.05
Tunni,44.33,2.25
Kalagan,125.42,6.42
Palikur,-51.0,3.0
Teme,11.38,8.75
Gula Zura,22.5,9.5
Hwana,12.83,10.42
Uilta,143.5,49.5
Sirasira,146.5,-6.2
Talagang Hindko,72.42,32.93
Lacandon,-91.5,17.0
Movima,-65.67,-13.83
Lozi 2,26.0,-17.83
Lugbara,30.92,3.08
Gaagudju,132.83,-12.62
Tunoe Babatana,157.5,-7.33
Sorogama,-4.0,15.5
Cham Eastern,108.5,11.33
Musey,15.33,9.75
Central Aymara 2,-69.0,-17.0
Enqi Bai,99.13,26.47
Quichua Imbabura 2,-78.23,0.27
Kaskaskia Illinois,-89.91,37.92
Quichua Chimborazo Troje,-78.62,-1.7
Paez,-76.0,2.67
Levei,146.8,-2.0
Gapapaiwa,149.83,-9.75
Rasawa,136.33,-2.42
Yakha,87.25,27.15
Ekoi,8.67,5.42
Manobo Tigwa,125.08,7.67
Chokwe,20.0,-6.67
Ndut Falor,-16.92,14.92
Moro Magindanau,124.5,6.83
Labir,9.6,10.4
Chang 2,94.75,26.33
Awalai Wa,99.44,22.64
Cholon,-77.5,-8.0
Cuyonon,119.5,10.33
Acholi 2,32.67,3.0
Namia,141.78,-3.84
Manchu 3,127.5,49.5
Assiniboine,-103.42,50.25
Nigbikan,-6.25,8.65
Nahuatl Atlacholoaya Xochitepec,-99.22,18.72
Indonesian,106.0,0.0
Palestinian Arabic,35.25,32.0
Digo,39.33,-4.27
Kanembu,15.0,14.0
Southern Baima,104.64,30.43
Djamindjung,130.5,-15.08
Dorio,160.83,-9.0
Aghu Tharrnggala,144.0,-15.0
Orya 2,139.83,-2.75
Quechua Chachapoyas,-77.87,-6.27
Mubi,19.67,12.75
Vandugukakan,-6.92,10.12
Bambili,10.2,6.12
Hamtai,146.25,-7.5
Lobala,18.25,2.0
Tchumbuli,2.58,8.5
Columbia Wenatchi,-120.0,47.5
Komering,105.0,-4.0
Navi,-73.94,40.67
Friulian,12.9,46.17
Somrai,16.67,9.67
Bauro,161.83,-10.67
Waskia,146.0,-4.5
Younuo Bunu,110.3,26.0
Shom Peng,93.8,7.0
Iron Ossetian,44.0,43.0
Lahu 2,98.17,20.0
Iraq Muslim Baghdad Arabic,44.0,33.0
Quechua Yauyos Vinac,-75.78,-12.93
Koke,18.33,10.75
Southern Cakchiquel San Andres Itzapa,-90.84,14.62
Mbamba Sibiti,14.0,-0.92
Rwanda Kigoyi,30.0,-2.0
Western Xiangxi Hmong,105.8,23.1
M52 Lala,31.5,-12.0
Lamasong,151.8,-3.17
F23 Sumbwa Yeke,32.0,-3.67
B78 Iwum Wuumbu Sud Teke,15.33,-3.67
Reunionnais,55.5,-21.17
Turkish 2,35.0,39.0
Proto Northern Hindko,73.0,34.0
Kosovo Arli Romani,20.85,42.53
Mput 1,18.0,-3.83
Xebia,12.33,-1.17
Balep,8.67,6.08
Lamba 2,28.0,-13.0
Nyakur 2,101.67,15.67
Samish,-123.25,48.75
Salish Straits,-123.25,48.75
Proto Chukotko Kamchatkan,160.0,56.5
Northern Tujia,111.12,28.95
Ndasa 1,13.25,-3.0
Ndasa 2,13.25,-3.0
Wogamusin,142.33,-4.25
Nyeu,104.25,15.0
Boliano,119.83,16.33
Ika,-73.75,10.67
Rampi,120.33,-2.08
Venda 2,30.0,-22.0
Iko,8.0,4.58
Logoli,34.67,0.17
Bilaan Sarangani,125.33,6.0
Esimbi,9.92,6.5
Bahinemo,142.83,-4.58
Nanwang Puyuma,121.08,22.83
Quechua Huanca Huaycha,-75.41,-12.01
Nyoongar,122.0,-33.75
Bembe,14.08,-3.92
Bemba,30.0,-10.0
Kara Png,151.12,-2.83
Moroccan Arabic 2,-6.0,34.0
Jianchuan Bai,99.91,26.54
Guinau,-64.62,4.78
Kamberau,133.5,-3.42
Koita,147.08,-9.33
Badaga,76.75,11.67
Kenga,18.0,12.0
Layiping Hmong,105.8,23.1
Yareni Zapotec,-96.62,17.38
Gar,108.5,12.67
Korlai,72.9,18.52
Lukep,147.05,-5.83
Gal,145.63,-5.16
Bafia Rope,11.17,5.0
Guachi,-56.34,-19.43
Afar 2,42.0,12.0
Kunkarakany,131.0,-12.0
Kakua,-70.0,1.08
Mikrakh Lezgi,47.88,41.37
Atchin,167.33,-16.0
Saek 2,104.75,17.42
Saek 3,104.75,17.42
Togoyo,25.68,8.46
Lamani,77.0,17.0
Mandara,152.0,-2.83
Yuracare Yurujure,-65.25,-16.58
Kott,94.0,56.0
Riang,92.03,23.68
Lifonga,18.75,3.25
Biksi,140.58,-4.08
Karbi,93.5,26.33
Wobe,-7.33,7.42
Koti,39.5,-16.5
Murupi,145.59,-5.0
Kota,12.5,0.0
Tariana,-69.17,1.0
Proto Highland East Cushitic,38.44,7.05
Ndoka,20.33,8.5
Yaygir,153.0,-29.4
Yandang,12.07,9.0
Tariano,-69.17,1.0
Atayal,121.33,24.5
Punial Shina,74.0,36.0
Wichi Lhamtes,-62.5,-24.0
Kamba Kenya 2,38.0,-1.5
Mpur,133.25,-0.75
Kwele Hakoku,14.33,1.67
Doutai,138.17,-3.33
South Island Maori,173.0,-43.0
Blagar Retta Ternate,124.25,-8.33
Bonfia,130.5,-3.25
Icelandic,-17.0,65.0
Tumleo,142.42,-3.08
Malagasy Tandroy Mahafaly Ambovombe,46.08,-25.17
Akkadian,44.1,33.1
Cua,108.5,15.25
Bine Kunini,142.92,-9.0
Cun,108.62,19.1
Maku,-61.66,3.42
Western Neo Aramaic,36.25,33.92
Luangiua,159.42,-5.33
Shuar,-78.0,-2.5
Acholi,32.67,3.0
Kwandi,23.58,-15.5
Mamainde,-59.17,-12.75
Akwa,15.85,-0.25
Lefa,11.95,5.06
Saho,39.75,14.75
Kyirong,85.4,28.25
Sahu,127.5,1.17
Bozo Hainyaho,-5.5,13.92
Kambaata 2,37.75,7.4
Wirri,146.5,-20.5
Stellingwerfs,6.22,52.98
Czech,15.0,50.0
Tela Masbuar,129.7,-8.0
Begua,141.43,-7.43
Wanleng Wa,99.84,23.13
Campa De Perene,-75.32,-11.05
Kadaru,30.25,12.17
Mariadei,136.25,-1.75
Arrernte Eastern 2,136.0,-24.0
Ibilo,6.08,7.42
Kadara,7.46,10.0
Tigrinya 2,38.5,14.5
Yokuts Tinlinneh,-119.08,36.08
Yambeta,10.97,5.03
Agra Gujari,78.0,27.18
Mazahua,-99.9,19.35
Haryanvi,76.08,29.05
Tapachultec,-92.28,14.9
Sherbro,-12.5,7.5
Latep,146.5,-6.92
Apurina,-67.0,-9.0
Wichita,-97.33,33.33
Akaha,6.42,4.5
Chipaya,-68.4,-19.0
Bokobaru,3.95,9.62
Yanz Kumakuma,18.0,-3.83
Korak,145.51,-4.56
Pengo,83.83,19.83
Qiang Yadu,103.36,31.89
Yakamul,142.67,-3.25
Pakha Golam Hindko,71.61,34.04
Sikaritai,138.25,-2.92
Mbalangwe,24.92,-17.75
Koyukon,-155.0,65.0
Nagar Shina,74.0,36.0
Mardan Pashto,72.04,34.2
Siriano 2,-70.17,0.75
Ngoni Malawi,34.0,-14.0
Kebwe,28.0,-6.0
San Andres Arabic 1,-81.7,12.58
San Andres Arabic 2,-81.7,12.58
San Andres Arabic 3,-81.7,12.58
Shawnee,-96.76,35.35
Nuer,32.0,8.33
Bola,150.0,-5.4
Efai,8.25,4.58
Bura,12.25,10.5
Buru,10.9,7.0
Ngarinyin,126.0,-16.33
Tutuba,167.3,-15.6
Quetta Pashto,67.02,30.21
Lontomba,18.33,-2.0
Nalik,151.33,-2.95
Kichee Santa Maria Chiquimula 2,-91.42,15.0
Kichee Santa Maria Chiquimula 1,-91.42,15.0
Nunggubuyu,135.67,-13.75
Amharic 2,38.0,10.0
Tarifit Beni Iznassen,-4.0,34.05
Western Pocomam San Cristobal Verapaz,-90.4,15.38
Upper Tanana Tetlin,-141.37,62.68
Jarawa,92.58,12.0
Gawwada,37.25,5.5
Pare Sud,36.5,-4.0
Kaytetye 2,134.1,-19.38
Shigar Balti,76.0,35.0
Proto Wintun,-122.5,41.0
Bembe 2,14.08,-3.92
Bembe 3,14.08,-3.92
Eastern Kativiri,70.0,35.5
Tewa Deing,124.17,-8.33
Toki Pona,-64.8,46.12
Zapotec 1578,-96.72,17.05
Tegbo,0.25,6.82
Mpyemo 1,15.67,3.5
Butanglu Paiwan,120.83,22.5
Lowa,83.83,28.83
Georgian,44.0,42.0
Baka 2,13.58,2.58
Paka,142.42,-4.75
Fore,145.5,-6.75
Paku,114.92,-1.83
Dalmatian,18.02,42.71
Wadi,29.75,4.75
Guarani,-56.0,-26.0
Tuwuli,0.4,7.33
Sanima,-64.67,4.5
Jambi Malay,103.0,-1.67
English,0.0,52.0
Gafuku,145.42,-6.0
Yorta Yorta,146.0,-36.0
Maiwa Maneao,149.25,-9.67
Sobei,138.8,-1.92
Bidjara,146.0,-25.17
Mombun,138.75,-8.25
Kwaami,11.0,10.42
Rarotongan 2,-158.0,-20.0
Ekit,7.92,4.75
Mephaa Acatepec,-99.0,17.08
Nea Nemboi,165.87,-10.78
Tai Ning Ming,108.0,24.0
Dogon Tene Kan,-3.2,14.1
Otomi De 1776,-99.67,21.33
Domu 2,148.5,-10.17
Xavante 2,-52.5,-15.0
East Slovak Romani,15.52,49.78
Ojiga,29.95,4.9
Agi Agei,142.42,-3.42
Dzodinka,10.92,6.75
Island Carib,-61.5,15.5
Wusi Valui,166.68,-15.33
Tunggare,135.5,-3.33
Kemezung,10.5,6.75
West Uvean,166.5,-20.33
D28 Holoholo,29.92,-5.17
Polci Buli,10.0,10.5
Romanian 2,25.0,46.0
Birrdhawal,148.93,-37.05
Odoodee,142.35,-6.6
Tuki 2,11.5,4.58
Maonan,108.0,24.96
Saparua Ihamahu,127.92,-3.5
Repanbitip,167.68,-16.3
Daur,124.0,48.0
Mandinka,-16.0,13.42
Naxi,100.0,27.5
Pubiao,104.92,23.0
Fauro Mono,155.75,-7.05
Wawonii Menui,123.17,-4.08
Middle Wahgi,144.72,-5.83
Adyghe,40.58,45.23
Vietnamese,106.5,10.5
Caiyuan Biyo,101.33,23.02
Runga,21.0,10.33
Swahili Chirazi,39.43,-4.02
Nungon,146.84,-6.08
Bahing,86.4,27.4
Proto Oceanic,-125.0,-10.0
Naga Wancho,95.0,27.0
Quechua Yauyos Cacra,-75.78,-12.81
Nahuatl Cuatlamayan Antonio Santos,-98.65,20.8
Barai,148.08,-9.33
Sengi,140.83,-3.5
Lamnsoq,10.75,6.17
Ambonese Malay,128.2,-3.83
Samihim,115.08,-2.08
Kefa 2,36.25,7.25
Totonac Highland,-97.42,19.92
Saxon Upper,12.48,51.33
Wipi Kuru,143.08,-8.75
Central Koma,33.75,8.75
Taiyang Ai Cham,107.43,25.34
Ghadames 2,9.5,30.13
Eloyi,8.17,8.0
Zhoucheng Bai,100.1,25.89
Tzutujil Western,-91.33,14.67
Mirana,-72.33,-2.17
Iliun,125.83,-7.83
Nahuatl Chilocoyo Huehuetla,-97.62,20.12
Duvle 2,137.92,-3.25
Proto Sam,37.98,2.33
Huarijio,-108.67,27.75
Daribi,144.58,-6.55
Akei Tasiriki,166.82,-15.65
Southern Pomo,-122.5,39.0
Towei,140.83,-3.83
Tai Ping Siang,108.0,24.0
Nahuatl Hueyapan Tetela Del Volcan,-98.67,18.87
Walade Lau,161.5,-9.58
Malagheti Talise,160.17,-9.75
Mountain Koiari,147.5,-9.0
Wargamay,146.08,-18.58
Mongo Losakani Ntomba,21.0,0.0
Ligurian Rapallo,8.95,44.42
Maricopa,-113.17,33.17
Quichua Tungurahua Guapante,-78.43,-1.2
Marathi,76.0,19.0
Operemo,5.67,4.92
Pero,11.0,9.58
Triqui Chicahuaxtla,-97.83,17.17
Kapong Baru,132.33,-1.75
Birgit,20.0,12.0
Kinami Dibole,17.25,1.08
Jallozai Pashto,71.82,33.92
Laua,149.25,-10.25
Folokakan,-7.83,9.59
Kakwa,30.25,3.92
Dorze,37.58,6.25
Bughotu,159.83,-8.5
Kapampangan,120.5,15.33
Konjo,120.33,-5.47
Otomi Acambay,-100.08,20.08
Tambunan Dusun,116.4,5.7
Kabiye,1.17,9.67
Rahambuu,121.0,-3.67
Huave,-95.0,16.22
Gbanzili,20.25,4.83
Yimas,143.55,-4.67
Mansi,62.0,62.0
Northern Koma,34.17,9.5
Even,130.0,68.0
Dhurga,150.0,-35.67
Taushiro,-76.0,-2.5
Wappo,-122.5,38.5
Mbya,-55.0,-26.33
Umbugarla,132.0,-13.0
Rashidpur Santali,87.0,24.5
Maipure,-67.5,5.5
Puri,-42.5,-19.5
Jakalteko Eastern,-91.67,15.67
Monumbo,145.0,-4.25
Akebu,0.92,7.78
South Malo,167.22,-15.74
Xipaya,-54.5,-12.0
Ngofakiaha,127.5,0.0
Bundeli,78.45,25.5
Bwaidoka,150.33,-9.5
Omeo,147.6,-37.1
Yokuts Unknown,-119.08,36.08
Nginia Ghari,159.75,-9.5
H12 Vili Mayumba,12.0,-4.67
Herero 2,19.0,-20.58
Eggon,8.58,8.67
Tami,147.75,-6.75
Nsari,10.67,6.58
Nyangatom,35.83,4.92
Karaja,-50.33,-10.0
Mbaniata,157.5,-8.67
Xishan Bai,99.93,26.11
Maii,168.18,-16.79
Sorkhei,53.2,35.45
Tamagario,139.25,-6.42
Tadaksahak,2.13,15.52
Makwa Nampula,38.67,-15.0
Koho Sre,108.0,11.5
Meyah,133.5,-1.17
Sukurum,146.5,-6.2
Quichua Azuay,-78.99,-2.98
Archi,46.83,42.0
Ofo,-89.39,36.03
Nsekshaa,18.0,-3.0
Tlacoapa Mephaa,-99.48,17.57
J62 Rundi,30.0,-3.5
Humene,147.58,-9.67
Settled Swat Gujari,72.37,34.83
Cochimi,-113.07,28.08
Nyong,10.42,5.92
Lakona,167.44,-14.23
Kimki,140.92,-4.25
Favorlang,120.67,24.0
Ulterior Mixe C,-96.03,17.22
Mlahso,40.63,38.47
Maskelynes,167.85,-16.55
Squamish,-123.17,49.67
Tacheng Dagur,124.0,48.0
Ron Daffo Butura,8.75,9.0
Lemio,145.78,-5.7
Lowland Mixe,-95.67,16.92
Huangluo Bunu,110.13,25.74
Proto Palawan,117.3,8.67
Central Berawan,114.2,3.9
Emiliano Carpigiano,11.58,44.35
Totoli,120.83,1.17
Awake,-63.12,4.0
Yuri,141.08,-3.75
Avar Kusur,46.86,42.06
Matoko Bomitaba,17.5,1.67
Aguaruna,-78.0,-5.0
Koraga Korra,74.97,13.27
Chimila,-74.0,10.0
Nuosu Yi,102.27,27.88
Aoma,5.92,7.08
Bakaka,9.88,4.8
Mungaka,10.0,5.92
Alawa,134.25,-15.17
Thangmi,86.0,27.75
Saramaccan 2,-55.5,4.5
Keliko,30.68,3.7
Mambare River,148.0,-8.25
Ninka,8.42,9.25
Sambal Botolan,120.2,15.25
Yeri,142.5,-3.42
Tuxinawa,-69.02,-9.75
Old Norse,10.38,63.42
Mochica,-79.33,-7.5
Nahuatl Rafael Delgado,-97.07,18.8
Mbomfoli,18.0,-3.0
Taiof,154.63,-5.53
Serui-laut,136.23,-1.9
Eyak,-145.0,60.5
Burunge,36.0,-5.33
Romansh Surmiran,9.93,46.55
Kiha,119.08,-3.08
Krotmag Klingon,-118.33,34.1
Burmese,96.0,21.0
Maxakali,-40.0,-18.0
Lamboya,119.33,-9.67
Burmeso,138.25,-2.5
Magar 2,83.0,28.0
Hixkaryana,-59.0,-1.0
Hadza,35.17,-3.75
Nkafa,13.32,10.54
Lasalimu,123.12,-5.22
Kwanyama,16.5,-17.0
Northern Roglai,108.83,12.17
Sulka,151.92,-5.08
Zapotec Loxicha,-96.6,16.0
Afade,15.33,11.33
Emumu,140.92,-3.67
Santa Ana Owa,162.47,-10.83
Kichee Samayac 1,-91.5,14.78
Kichee Samayac 2,-91.5,14.78
Kela,147.08,-7.42
Ngangikurrunggurr,130.5,-14.0
Ingassana,34.0,11.5
Ainu Raichishka,142.03,49.07
Tagabili,124.5,6.17
Mapos,146.83,-6.92
Nimo Nakwi,141.75,-4.25
Berti,25.85,14.57
Moronene,122.0,-5.25
Yuanyang Tai,102.84,23.22
Tenengakan,-7.47,8.37
Bunun,121.0,23.5
Menglian Tai,99.58,22.33
Ndemli,10.17,4.67
Sarudu,119.33,-1.67
Ngiti,30.25,1.67
Perai,126.6,-7.58
Litzlitz,167.48,-16.12
Ranau Lampung Api,105.0,-5.0
Proto Ainu,143.0,42.9
Sechelt,-123.8,49.5
Corsican,9.0,42.0
Kpelle,-10.0,7.0
Somali,45.0,3.0
Piapoco 2,-69.5,4.0
Teshenawa,8.36,9.64
Bunganditj,140.5,-36.5
Mbamba Liweme,14.0,-0.92
Muna,122.42,-5.0
Isconahua,-74.5,-7.83
Chara,36.42,6.64
Palawano Batak,117.9,8.83
Kemtuik,140.33,-2.67
Xetsoxo,11.33,-1.5
Tenharim,-62.0,-8.0
Nhengatu,-67.3,1.3
Meii2 Uaripi,145.75,-7.92
Tabulahan Campbell,119.25,-2.75
Paumari,-64.0,-6.0
Baga Sitemu,-14.5,10.5
Nakanai,150.58,-5.58
Zakha Khel Afridi Pashto,71.17,34.0
Tillamook,-123.75,45.33
Taka Kham,82.75,28.5
San Bartolome Ayautla,-96.73,18.02
Manjaca Churo,-16.25,12.0
Puma,86.8,27.1
L22 Mbagani,22.0,-6.83
Ne Maidu,-120.67,40.0
Jita,34.0,-1.5
Ngawun,141.5,-19.0
Gabadi,147.0,-9.0
Hmong Daw,105.0,26.0
Yuhup,-69.0,0.0
Mboshi Olee,15.58,-1.33
Ogaden Arabic,44.3,7.28
Makayam,143.08,-8.33
Kiniageima,138.92,-4.58
Chonyi,39.75,-3.72
Shor,88.0,53.0
Akunnu,5.92,7.58
Tolaki Konawe,122.0,-4.0
Hmong Njua,105.0,28.0
Standard Arabic,42.0,25.0
Ikaan,6.05,7.75
Kaiwa,150.58,-10.33
Batak Palawan,119.08,10.25
Mara,135.17,-15.0
Mari,145.83,-6.0
Kyaka Enga,144.08,-5.55
Maru,98.5,23.5
Valencian,-0.38,39.47
Dananshan Hmong,105.91,23.75
Ashaninka,-74.0,-12.0
Srenge,142.5,-3.42
Ngaju Baamang,113.17,-0.75
Bunaba,125.75,-17.75
Semimi,133.17,-3.15
Waka,11.5,8.78
Mon 2,100.5,14.83
Wara Png,141.58,-8.5
Lithuanian Romani,22.58,53.03
Kunyi,12.9,-4.0
Spokane,-117.75,47.67
Boma Nord Saio,23.17,3.58
Modang,115.4,0.92
Buhinon Albay Bicolano,123.5,13.17
Korokan,-5.83,8.5
Tamahaq Tahaggart,6.0,23.0
Nanti,-72.33,-12.83
B86 Dzing Bisey,19.5,-4.33
Naga Rengma,95.01,26.03
Toba Batak,99.0,2.5
Nahuatl Amilcingo Zacualpan,-98.77,18.8
Mengen,151.5,-5.5
Enya Kibombo,25.25,-0.5
A60 Mmaala,11.08,4.5
Asheninka Pajonal,-74.25,-10.67
Hanga,-1.53,9.5
Bas Kenyang,9.5,5.67
Kubu,102.17,-2.42
Hyam,7.95,9.87
Kubo,142.17,-6.0
Dimir,145.63,-4.8
Bhattiyali,76.12,32.55
Tiene 2,16.5,-2.83
Kondo,119.0,-2.92
Tiene 3,16.5,-2.83
Southwest Tanna Enfitana,169.4,-19.57
Nanjiang,100.25,25.0
South Bastar Gondi,81.67,19.25
Moramo Bajau,123.0,-4.33
Mocovi,-62.0,-27.0
Belarusian,28.0,54.0
Bassari,0.5,10.08
Kinnauri,78.0,31.5
Wangaaybuwan Ngiyambaa,145.5,-31.75
Asmath North,138.05,-4.83
Daro Matu,111.52,2.62
Jingpho,97.0,25.33
Musom,147.0,-6.58
Kachari,91.0,26.5
Korupun Sela,139.58,-4.5
Puno City,-70.02,-15.83
Darling,142.5,-32.5
Chug,92.25,27.4
Lao,103.0,18.0
Lak,47.17,42.17
Ifugao Amganad,121.0,16.83
Nahuatl Ayotoxco,-97.4,20.1
Northern Pashto,67.0,33.0
Chuj,-91.58,15.92
Quechua Yauyos Tana,-75.75,-12.83
Laz,41.5,41.5
Eruwa,6.0,5.17
Waru Seram,130.64,-3.39
Sofia Erli Romani,23.33,42.7
Garaku,8.08,8.67
Puroik,93.25,28.33
Yampes,142.75,-3.5
Ndogo,27.0,7.75
Bogaya,142.25,-5.75
Longto,13.08,8.33
Dakpakha,91.82,27.38
Amanab,141.25,-3.58
Manggalili,135.5,-12.25
Viemo,-3.85,10.8
Bru,106.0,17.33
Ainu Yakumo,140.27,42.25
Denya Basho,9.42,6.0
Paran Taroko,121.42,24.17
Mashco Piro,-70.75,-9.8
Patpatar,152.5,-3.77
Teressa,93.18,8.33
Sideme,0.42,6.83
Mam Northern,-91.83,15.0
Mwan,-5.95,7.9
Imonda,141.17,-3.33
Zinacantan Tzotzil,-92.5,16.35
Abkhaz,41.0,43.08
Bimin,142.03,-5.29
Awjilah,21.0,29.0
Wolof Gambian,-16.2,13.5
Nambakaengo Malo,165.87,-10.78
Xoon Nuen,22.17,-21.68
Tunjung,115.83,-1.0
Kalabra 2,131.58,-1.17
Angloromani,1.0,52.0
Marba,15.92,9.5
Maisin,148.8,-9.12
Wargla,5.32,31.95
Ng Ke,21.0,-26.0
Tangoa,167.08,-15.61
Karo Batak,98.25,3.25
Nedebang,124.17,-8.25
Proto Daju,25.0,13.0
Ainu Tarantomari,141.97,46.86
Latin,12.45,41.9
Tsamai 2,37.03,5.42
Dumi 2,86.67,27.25
Vaagri Boli,79.1,12.54
Nta,8.5,6.17
Tak Hmong,99.08,16.52
Axamb Maxbaxo,167.75,-16.54
Gaddang,121.42,17.17
Maasupa Areare,161.17,-9.25
Pomo Northeastern,-122.5,39.33
Dogon,-3.33,14.5
Valangi,36.0,-4.5
Thakali,83.75,29.0
Akajima Okinawan,127.28,26.2
Central Quiche,-91.42,15.0
Laali Teke 1,13.1,-3.1
Laali Teke 2,13.1,-3.1
Simbo,156.5,-8.33
Larrakia,130.83,-12.67
Quichua Loja,-79.24,-3.63
Kabola,124.5,-8.17
Sani Amami,129.67,28.51
Eastern Frisian,7.5,53.58
Kwamera Isiai,169.46,-19.6
Nadeb,-66.5,-1.0
Kpan,10.17,7.58
Selayar,120.5,-6.0
Nomatsiguenga,-74.5,-11.67
B85d Tsong,18.08,-4.67
Manchu,127.5,49.5
Murua Stmt Uaripi,145.75,-7.92
Nsejime,18.0,-3.0
Senga Chama,30.83,-14.5
Taabwa Zambie,29.5,-8.0
Kadiweu,-57.0,-20.0
Lower Pinlang Puyuma,121.08,22.83
Lenakel Lenaukas,169.34,-19.38
Sa,168.2,-16.0
Zamba Bamongo,17.33,-1.33
Venezuelan Bari,-72.25,9.84
Ganish Hunza Burushaski,74.5,36.5
Matis,-70.25,-4.42
Wumbvu,12.25,-2.42
Manjaca Costa De Baixo,-16.25,12.0
